agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,nivel_ensenanza,nivel_ensenanza_agregado,numero_alumnos
2006,25282,COLEGIO POLIV. CARDENAL RAUL SILVA HENRIQUEZ,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.61453538,-70.59563351,Educación Parvularia,Educación Parvularia,148
2006,25282,COLEGIO POLIV. CARDENAL RAUL SILVA HENRIQUEZ,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.61453538,-70.59563351,Enseñanza Básica Niños,Enseñanza Básica,935
2006,25282,COLEGIO POLIV. CARDENAL RAUL SILVA HENRIQUEZ,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.61453538,-70.59563351,Enseñanza Media HC Jóvenes,Enseñanza Media,325
2006,25282,COLEGIO POLIV. CARDENAL RAUL SILVA HENRIQUEZ,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.61453538,-70.59563351,Enseñanza Media TP Jóvenes,Enseñanza Media,65
2006,25283,ESC.PART.ESPECIAL LA CONCEPCION DE COLINA,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,75
2006,25284,ESUELA ESPECIAL DE LENGUAJE PIRAMIDE,SAN JOAQU?N,Centro,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,85
2006,25285,ESCUELA RALUN KOYAN,LAMPA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Rural,Funcionando,0.00000000,0.00000000,Enseñanza Básica Niños,Enseñanza Básica,94
2006,25286,ESCUELA PARTICULAR  COMUNICATE,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,64
2006,25287,ESCUELA BASICA PARTICULAR ESJELAVI,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.61361686,-70.64305224,Educación Parvularia,Educación Parvularia,16
2006,25287,ESCUELA BASICA PARTICULAR ESJELAVI,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.61361686,-70.64305224,Enseñanza Básica Niños,Enseñanza Básica,265
2006,25287,ESCUELA BASICA PARTICULAR ESJELAVI,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.61361686,-70.64305224,Enseñanza Media HC Jóvenes,Enseñanza Media,89
2006,25288,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,LAMPA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.23670110,-70.81406699,Educación Especial,Educación Especial,110
2006,25289,ESC. DE PARV. Y ESP. LUIS SEMBRADOR,PEDRO AGUIRRE CERDA,Centro,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,75
2006,25290,ESCUELA BASICA PARTICULAR EL REY,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.52653277,-70.76910402,Enseñanza Básica Niños,Enseñanza Básica,51
2006,25291,CENTRO EDUCACIONAL HUGO TRIVELLI FRANZOLINI,BUIN,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,-33.73245750,-70.74286220,Enseñanza Media HC Jóvenes,Enseñanza Media,102
2006,25291,CENTRO EDUCACIONAL HUGO TRIVELLI FRANZOLINI,BUIN,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,-33.73245750,-70.74286220,Enseñanza Media TP Jóvenes,Enseñanza Media,49
2006,25294,ESCUELA ESPEC.PART. SANTA TERESA DE JESUS,PUDAHUEL,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,84
2006,25295,COLEGIO TOBALABA LA FLORIDA,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado temporalmente,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,13
2006,25295,COLEGIO TOBALABA LA FLORIDA,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado temporalmente,0.00000000,0.00000000,Enseñanza Básica Niños,Enseñanza Básica,135
2006,25295,COLEGIO TOBALABA LA FLORIDA,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado temporalmente,0.00000000,0.00000000,Enseñanza Media HC Jóvenes,Enseñanza Media,106
2006,25296,ESC. ESPEC. LENGUAJE LOS CHIQUITINES,PEDRO AGUIRRE CERDA,Centro,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,107
2006,25297,ESCUELA ESPECIAL Y LENGUAJE ROCIO,PEDRO AGUIRRE CERDA,Centro,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,158
2006,25298,ESCUELA ESPECIAL PARTICULAR LUDILEN,EL BOSQUE,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,90
2006,25300,ESC.BAS.NUEVOS CASTANOS DE MAIPU,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.50906032,-70.76690746,Enseñanza Básica Niños,Enseñanza Básica,208
2006,25300,ESC.BAS.NUEVOS CASTANOS DE MAIPU,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.50906032,-70.76690746,Enseñanza Media HC Jóvenes,Enseñanza Media,546
2006,25301,ESC.ESPEC.SAGRADA FAMILIA DE MAIPU,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,69
2006,25302,ESCUELA ESPECIAL STELLA MARIS DE NUNOA,?U?OA,Oriente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,85
2006,25303,CENTRO EDUCACIONAL LAURA VICUNA,RENCA,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.40145556,-70.71889071,Educación Parvularia,Educación Parvularia,53
2006,25303,CENTRO EDUCACIONAL LAURA VICUNA,RENCA,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.40145556,-70.71889071,Enseñanza Básica Niños,Enseñanza Básica,266
2006,25303,CENTRO EDUCACIONAL LAURA VICUNA,RENCA,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.40145556,-70.71889071,Enseñanza Media HC Jóvenes,Enseñanza Media,577
