Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
4134;COOPERATIVA DE TRABAJO VALLE BLANCO, DE NOMBRE DE FANTASIA VALLECO;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4139;COOPERATIVA DE TRABAJO EN SERVICIOS DE CAPACITACION Y TECNOLOGIAS EDUCATIVAS CAPACITAS LIMITADA, DE SIGLA COOPERA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4151;COOPERATIVA DE TRABAJO EN SERVICIOS DE CAPACITACION Y TECNOLOGIAS APLICADAS AGUASANTA LIMITADA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4152;COOPERATIVA DE TRABAJO MAR Y TIERRA, DE NOMBRE DE FANTASIA COOP. MAR Y TIERRA;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4155;COOPERATIVA DE TRABAJO KIBUT LTDA., DE NOMBRE DE FANTASIA KIBUT LTDA.;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4156;COOPERATIVA DE TRABAJO CENTRAL DE LA CONSTRUCCION OBISPO ENRIQUE ALVEAR LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4157;COOPERATIVA DE TRABAJO DESARROLLO PRODUCTIVO DE CHILOE, DE NOMBRE DE FANTASIA ISLA GRANDE LIMITADA;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4170;COOPERATIVA DE TRABAJO PARA LA CAPACITACION Y DESARROLLO INDUSTRIAL PARA LOS COOPERATIVOS MICROEMPRESARIOS, ANTARTIC;Producción y Trabajo.;NO;12 Magallanes;Activa;Vigente
4171;COOPERATIVA DE TRABAJO EN TURISMO RURAL RUTA HUASA LIMITADA;Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
4173;COOPERATIVA DE TRABAJO DE SERVICIOS PARA LA RECREACION Y EL ESPARCIMIENTO FARELLONES LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4174;COOPERATIVA DE TRABAJO TRANSMATUR, DE SIGLA TRANSMATUR;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4175;COOPERATIVA DE TRABAJO EN SERVICIOS TECNOLOGICOS AGROPECUARIOS Y COMERCIALIZACION CUMBRE MOCOHEN LIMITADA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4178;COOPERATIVA DE TRABAJO EN SERVICIOS INDUSTRIALES COOPSERVIN LIMITADA, DE NOMBRE DE FANTASIA COOPSERVIN LTDA.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4179;COOPERARATIVA DE TRABAJO EN SERVICIOS PROFESIONALES Y DESARROLLO SUSTENTABLES, DE SIGLA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4182;COOPERATIVA DE TRABAJO EN TURISMO, CAPACITACION Y CULTURA, DE SIGLA CULTURSCOOP LTDA.;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
