Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
4485;"""COOPERATIVA DE TRABAJO GESCOOP LIMITADA""";Trabajo;NO;09 Araucanía  ;Activa;En Formacion
4491;"""COOPERATIVA BOLINCHEROS DE COCHAMÓ"" ""BOLINCHEROSCOOP""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4499;COOPERATIVA DE TRABAJO PARQUE ARTESANOS DE PELEQUEN;Trabajo;NO;13 Metropolitana;Activa;En Formacion
4500;COOPERATIVA DE TRABAJO SOLDADORES AUSTRAL - COOPERATIVA AUSTRAL;Trabajo;NO;11 Aisén;Activa;En Formacion
4505;COOPERATIVA DE TRABAJO CENTRO DE ESTUDIOS EN ASOCIATIVISMO Y ECONOMA SOCIAL;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4508;COOPERATIVA DE TRABAJO PRISMA LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4510;"COOPERATIVA DE INDUSTRIALES Y PRODUCTORES PANADEROS DE CHILE ""COOPRODUPAN CHILE";Trabajo;NO;13 Metropolitana;Activa;En Formacion
4513;"COOPERATIVA DE SERVICIOS FRANCISCO COLOANE ""COLOANE""";Trabajo;NO;07 Maule  ;Activa;En Formacion
4514;"COOPERATIVA DE ARTESANOS VIÑA CREA LIMITADA ""VIÑA CREA""";Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4515;"COOPERATIVA DE DESARROLLO DE ARTESANOS LIMITADA ""CODESART MAULE LTDA.""";Producción y Trabajo.;NO;07 Maule  ;Activa;Vigente
4517;"COOPERATIVA DE TRABAJO DE PERIODISTAS Y TRABAJADORES DE LA COMUNICACIÓN SOCIAL ""COOMUNICA""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4518;COOPERATIVA DE TRABAJO DE MADERA ÑGEN;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4519;COOPERATIVA DE TRABAJO PROTECCION Y MANTENCION DE AREAS VERDES;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4522;COOPERATIVA DE TRABAJO LAS MARAVILLAS DE LO ERRAZURIZ;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4523;COOPERATIVA DE TRABAJO SOL PONIENTE DE MAIPU;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4524;COOPERATIVA DE TRABAJO Y SERVICIOS MEDIO AMBIENTALES, SIGLA COTSEMA;Producción y Trabajo.;NO;01 Tarapacá;Activa;Vigente
4525;"COOPERATIVA DE TRABAJO, PRODUCCIÓN, SS PROFESIONALES, TRANSFORMACIÓN Y DESARROLLO SUSTENTABLE, SIGLA ""COOPETUR SAN PEDRO LTDA.""";Trabajo;NO;09 Araucanía  ;Activa;En Formacion
4529;"COOPERATIVA DE TRABAJO MOVIDECOR LIMITADA ""MOVIDECOR LTDA.""";Trabajo;NO;14 Los Ríos;Activa;En Formacion
4530;COOPERATIVA DE TRABAJO ECCOOP LIMITADA, DE SIGLA ECCOOP;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4534;COOPERATIVA ARTESANOS SOBRE RUEDAS;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4539;COOPERATIVA DE TRABAJO FLOR Y MAR COOPEFLOR;Trabajo;NO;13 Metropolitana;Activa;En Formacion
4544;COOPERATIVA DE TRABAJO, PRODUCCIÓN, SERVICIOS PROFESIONALES, TRANSFORMACIÓN Y DE PESCADORES ARTESANALES DE LA CORDILLERA DEL SARAO LIMITADA COOSAMAR;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4547;"COOPERATIVA DE TRABAJO ""CUIDADORES Y ASISTENTES DE SALUD PARA ADULTOS MAYORES POSTRADOS Y SEMIVALENTE Y SERVICIOS MENORES ""SIEMPRE JOVEN"" ""SIEMJO""";Trabajo;NO;01 Tarapacá;Activa;En Formacion
4549;"COOPERATIVA DE TRABAJO ""SAN LUIS""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4550;"COOPERATIVA DE TRABAJO ARTESANOS DE LA REGIÓN DEL LIBERTADOR, SIGLA ""MAESTROS ARTÍFICES""";Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
4551;COOPERATIVA DE TRABAJO Y PRODUCCION DE RECURSOS PESQUEROS, ACUICOLAS Y AGRICOLAS DE LA ISLA QUELLIN;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4553;"COOPERATIVA DE TRABAJO, SERVICIO Y PRODUCCION ""COOSERPRO""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4554;"COOPERATIVA DE MUJERES EMPRENDEDORAS, RECOLECTORAS DE CALETA PISAGUA, SIGLA ""COOMUEMPI""";trabajo;NO;01 Tarapacá;Activa;En Formacion
4556;COOPERATIVA DE TRABAJO SOTOMÓ;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4558;COOPERATIVA DE TRABAJO DE RECICLADORES DE ALTO HOSPICIO;Producción y Trabajo.;NO;01 Tarapacá;Activa;Vigente
4567;COOPERATIVA DE TRABAJO AGRICOLA Y GANADERA REDCARNE DE LOS RIOS;Producción y Trabajo.;NO;14 Los Ríos;Activa;Vigente
4573;"COOPERATIVA DE TRABAJO ""ARRAYAN"", DE SIGLA ""ARRAYANCOOP""";Trabajo;NO;09 Araucanía  ;Activa;En Formacion
4574;"COOPERATIVA DE TRABAJO Y PROYECTOS LIMITADA ""PRESENCIALITE LTDA.""";trabajo;NO;05 Valparaíso  ;Activa;En Formacion
4577;"COOPERATIVA DE TRABAJO ""RELONCAVI""";Trabajo;NO;05 Valparaíso  ;Activa;En Formacion
4578;"COOPERATIVA UNIVERSITARIA DE INSUMOS Y BOLSA DE TRABAJO ESTUDIANTIL DE LA UNIVERSIDAD CATÓLICA DEL NORTE ""KACTUS""";Trabajo;NO;10 Los Lagos  ;Activa;En Formacion
4583;COOPERATIVA DE TRABAJO DE DUENOS DE TAXIS COLECTIVOS LINEA VEINTIUNO;Producción y Trabajo.;NO;12 Magallanes;Activa;Vigente
4589;"COOPERATIVA DE TRABAJO DE HORMIGON PREFABRICADO ""FABRICOOP""";Trabajo;NO;05 Valparaíso  ;Activa;En Formacion
4590;"COOPERATIVA DE SERVICIOS MÚLTIPLES Y DE TRABAJO VIÑA DEL MAR ""COOPUVM""";Trabajo;NO;05 Valparaíso  ;Activa;En Formacion
4591;COOPERATIVA DE TRABAJO POSICIONA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4592;COOPERATIVA DE TRABAJO, PRODUCCION, SERVICIOS Y COMERCIALIZACION DE BIENES PRODUCTIVOS, RUTA AL SUR;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4594;COOPERATIVA DE TRABAJO TURISMO IQUIQUE LIMITADA;Producción y Trabajo.;NO;01 Tarapacá;Activa;Vigente
4599;COOPERATIVA DE TRABAJO AGRICOLA AGUA DEL PICAFLOR;Producción y Trabajo.;NO;14 Los Ríos;Activa;En Constitución
4600;COOPERATIVA DEL MUEBLE Y MADERA TERRITORIO VALLE ARAUCANIA;Trabajo;NO;09 Araucanía  ;Activa;En Formacion
4601;"COOPERATIVA DE TRABAJO ECOLÓGICA TAMARUGAL ""COTTAMARUGAL""";Producción y Trabajo.;NO;01 Tarapacá;Activa;Vigente
4603;COOPERATIVA DE TRABAJO WITRALTU MAPU LIMITADA;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4604;COOPERATIVA DE TRABAJO DE DUENOS DE TAXIS COLECTIVOS SOL DE LA PATAGONIA LINEA CIENTO CATORCE;Producción y Trabajo.;NO;12 Magallanes;Activa;Vigente
4606;COOPERATIVA DE TRABAJO DE CULTIVO EXPLOTACION Y COMERCIALIZACION DE PRODUCTOS DEL MAR.;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Constitución
4615;COOPERATIVA DE TRABAJO RUTA PATRIMONIAL BAHIA TONGOY;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4616;COOPERATIVA DE TRABAJO PESQUERA ARTESANAL AYSEN;Producción y Trabajo.;NO;11 Aisén;Activa;Vigente
4623;COOPERATIVA DE TRABAJO TAXIS CORDILLERA ORIENTE;Trabajo;NO;06 O'Higgins  ;Activa;En Formacion
4626;"COOPERATIVA DE TRABAJO DE TRASPORTISTAS ESCOLARES QUILICURA LIMITADA ""TRANSCOLAR LTDA.""";Trabajo;NO;04 Coquimbo  ;Activa;En Formacion
4627;COOPERATIVA DE TRABAJO DEL MUEBLE Y LA MADERA VALLE ARAUCANIA;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4629;"COOPERATIVA DE TRABAJO Y SERVICIOS MULTICOOP LIMITADA ""MULTICOOP""";Trabajo;NO;15 Arica Parinacota;Activa;En Formacion
4630;"COOPERATIVA DE ARTESANOS QUILICURA LIMITADA ""ARTESANOS QUILICURA""";Trabajo;NO;13 Metropolitana;Activa;En Formacion
4631;COOPERATIVA DE TRABAJO DE ARTESANOS PARA LA CAPACITACIÓN Y EL DESARROLLO ILU;Producción y Trabajo.;NO;03 Atacama  ;Activa;Vigente
4639;COOPERATIVA DE TRABAJOS PEQUEÑA MINERÍA;Producción y Trabajo.;NO;01 Tarapacá;Activa;Vigente
4640;"COOPERATIVA DE TRABAJO ""MUJERES PRESTADORAS DE SERVICIOS TURISTICOS BILATERALES AGUA NEGRA""";Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4645;"COOPERATIVA DE TRABAJO DE TAXISTAS ""TAXIS LOCAL POZO ALMONTE""";Producción y Trabajo.;NO;01 Tarapacá;Activa;Vigente
4655;COOPERATIVA DE TRABAJO ASOCIACION DE INDUSTRIALES MALAQUIAS CONCHA ASIMC CHILE LTDA.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4658;SOCIEDAD COOPERATIVA DE TRABAJADORES DE LA MADERA JOSE EGO-AGUIRRE;Producción y Trabajo.;NO;08 Biobío  ;Activa;En Formacion
4662;COOPERATIVA DE TRABAJO CREACION ACTIVA TOTAL ORGANICA;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4663;COOPERATIVA DE TRABAJO INDUSTRIAL DE ENERGIAS RENOVABLES DE ARICA Y PARINACOTA;Producción y Trabajo.;NO;15 Arica Parinacota;Activa;Vigente
4665;COOPERATIVA DE TRABAJO Y PRODUCCION AMERICA;Producción y Trabajo.;NO;15 Arica Parinacota;Activa;Vigente
4671;COOPERATIVA DE TRABAJO CULLIM-KO LIMITADA;Producción y Trabajo.;NO;09 Araucanía  ;Activa;En Formacion
4673;COOPERATIVA DE TRABAJO, SERVICIOS Y ASESORIAS AGRICOLAS DEL RANCO;Producción y Trabajo.;NO;14 Los Ríos;Activa;En Formacion
4674;COOPERATIVA DE TRABAJADORES PLAYA CHICA DE LA COMUNA DE CARTAGENA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4676;COOPERATIVA DE ARTESANOS FOLIL DEL VALLE ARAUCANIA;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4682;COOPERATIVA DE TRABAJO MULTIDISCIPLINARIO Y COLABORATIVO PARA LA GESTION Y EL DESARROLLO SUSTENTABLE LIMITADA, COOPERACTIVA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4683;COOPERATIVA DE TRABAJO VERDE HORIZONTE R.L.;Producción y Trabajo.;NO;07 Maule  ;Activa;Vigente
4690;COOPERATIVA DE TRABAJO KIMKELEN;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4697;COOPERATIVA DE TRABAJO TEKNOCOOP LIMITADA;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4700;COOPERATIVA DE TRABAJO PRODUCCION Y SERVICIOS EN CULTURA, CAPACITACION Y COMUNICACIONES;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4701;"COOPERATIVA DE TRABAJO Y SERVICIOS ARTESANALES ""COOPERATIVA PORTAL DEL ARTESANO""";Producción y Trabajo.;NO;04 Coquimbo  ;Activa;En Formacion
4706;COOPERATIVA DE TRABAJO PARA EL DESARROLLO DE LA INNOVACION Y COOPERACION LLEKU;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4707;COOPERATIVA DE TRABAJO DE ESTUDIANTES DE LA UNIVERSIDAD DE LA FRONTERA;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4712;COOPERATIVA TRABAJO DE PRODUCTORES AGROECOLOGICOS DE CHILOE;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4715;COOPERATIVA DE TRABAJO ACCION VILÚ;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4716;COOPERATIVA DE TRABAJO EN PRODUCCION Y SERVICIO DE DISEÑO, MARKETING Y COMUNICACIONES;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4717;COOPERATIVA DE TRABAJO TONGOYINOS ESFORZADOS;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;En Formacion
4724;COOPERATIVA DE TRABAJO COOLABORA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4728;COOPERATIVA DE TRABAJO SUR;Producción y Trabajo.;NO;08 Biobío  ;Activa;Vigente
4738;COOPERATIVA DE TRABAJO DE PIRQUINEROS DE PELEQUÉN;Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
4743;COOPERATIVA DE TRABAJO PALEONTOLÓGICA DE ATACAMA LIMITADA;Producción y Trabajo.;NO;03 Atacama  ;Activa;Vigente
4746;COOPERATIVA DE TRABAJO DE ABASTECEDORES MERCADO DE QUILICURA LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4747;COOPERATIVA DE ARTESANOS TURISTICO CULTURAL DE TONGOY;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4750;COOPERATIVA DE TRABAJO DE ORGANIZACIONES DE PESCADORES ARTESANALES, ACUICULTORES, BUZOS MARISCADORES, RECOLECTORAS DE ORILLA Y ALGUEROS, ARMADORES Y ACTIVIDADES CONEXAS DE LA COMUNA DE ARAUCO;Producción y Trabajo.;NO;08 Biobío  ;Activa;Vigente
4751;COOPERATIVA DE TRABAJO DE DESARROLLO SOSTENIBLE;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4753;COOPERATIVA DE TRABAJO, SERVICIOS Y PRODUCCION HUIÑE MAULIN;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4757;COOPERATIVA DE TRABAJO DE SERVICIOS PROFESIONALES LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4761;COOPERATIVA DE TRABAJADORES EMPAQUES UNIVERSITARIOS DE PUERTO MONTT LIMITADA;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4762;COOPERATIVA DE TRABAJO LA LANCHA;Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
4764;COOPERATIVA DE TRABAJO, TURISMO Y DESARROLLO SUSTENTABLE DE ARTESANOS DE LONQUIMAY;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4766;COOPERATIVA DE TRABAJO ARTESANOS DE SAN JOSÉ DE MAIPO LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4767;COOPERATIVA DE TRABAJO RECICLADORES PELAKABLES LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4769;"COOPERATIVA DE TRABAJO ""SEGURIDAD GLOBAL""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4771;COOPERATIVA DE TRABAJO DE SERVICIOS DE TRANSPORTE TERRESTRE, COOTRAMAR LTDA.;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;En Formacion
4774;COOPERATIVA DE TRABAJO APICOLA ALTOS DEL SARAO;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4775;COOPERATIVA DE TRABAJO MANZANA VERDE;Producción y Trabajo.;NO;08 Biobío  ;Activa;Vigente
4778;COOPERATIVA DE TRABAJO FËN;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4781;COOPERATIVA DE TRABAJO, AGROPECUARIA, TURISMO Y TRANSPORTE DE LONQUIMAY;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4783;COOPERATIVA DE TRABAJO KÜME MONGEN;Producción y Trabajo.;NO;08 Biobío  ;Activa;En Formacion
4784;"COOPERATIVA DE TRABAJO PARA LA EDUCACION SUPERIOR ""UNIVERSIDAD ECOLÓGICA MELIPUYIL""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4785;"COOPERATIVA DE TRABAJO PARA LA EDUCACION SUPERIOR ""UNIVERSIDAD ECOLÓGICA NUEVA BRAUNAU""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4786;COOPERATIVA PLAZA LOS ARTESANOS TONGOY;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;En Formacion
4793;COOPERATIVA DE TRABAJO PARA LA EDUCACION SUPERIOR UNIVERSIDAD ECOLOGICA PUERTO VARAS;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4797;COOPERATIVA DE TRABAJO CENTRO DE INNOVACION Y EMPRENDIMIENTO SOCIAL Y EMPRESARIAL, CIEEM;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4803;COOPERATIVA DE TRABAJO PARA LA EDUCACION SUPERIOR UNIVERSIDAD ECOLOGICA NANIHUE;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;En Formacion
4804;COOPERATIVA DE TRABAJO PARA LA EDUCACION SUPERIOR UNIVERSIDAD ECOLOGICA NEWEN LEMU;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;En Formacion
4805;COOPERATIVA DE TRABAJO, TURISMO, DESARROLLO SUSTENTABLE Y ECOLÓGICO COMUNIDAD PEHUENCHE DE QUINQUEN;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4810;COOPERATIVA DE TRABAJO CINCO SOLES;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4811;COOPERATIVA DE TRABAJADORES Y COMERCIALIZADORA ALGINOR;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;En Formacion
4815;COOPERATIVA DE TRABAJO TEXTIL MAPUCHE WE RAYEN;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4818;COOPERATIVA DE TRABAJO LOS HUACHOS;Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
4827;COOPERATIVA DE TRABAJO PARA PERSONAS CON DISCAPACIDAD, LOS EMPRENDEDORES DE LOS VILOS;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4828;COOPERATIVA DE TRABAJO TOTORALILLO, ARTESANAL, CULTURAL GASTRONÓMICA , TURÍSTICA Y ECOLÓGICA DE COQUIMBO LIMITADA.;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;En Constitución
4829;COOPERATIVA DE TRABAJO QUINTIL CERO;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4832;SERVICIOS PROFESIONALES Y SOLUCIONES TECNOLÓGICAS INTEGRALES;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4833;COOPERATIVA DE TRABAJO MANOS CREATIVAS;Producción y Trabajo.;NO;06 O'Higgins  ;Activa;En Formacion
4835;"COOPERATIVA DE TRABAJO ""HERBOLARIO MAPUCHE KARILAWEN""";Producción y Trabajo.;NO;09 Araucanía  ;Activa;En Formacion
4837;COOPERATIVA DE TRABAJO ALIANZA EMPRESARIAL MAPUCHE NAGCHE WENTECHE;Producción y Trabajo.;NO;09 Araucanía  ;Activa;En Formacion
4840;COOPERATIVA DE TRABAJO HABITAR VERDE;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4842;COOPERATIVA DE SERVICIOS, DE TRABAJO Y PESQUERA CALETA EL PIURE;Producción y Trabajo.;NO;08 Biobío  ;Activa;En Formacion
4851;COOPERATIVA DE TRABAJO SERVICIOS PARA LA COOPERACION Y EL COOPERATIVISMO;Producción y Trabajo.;NO;09 Araucanía  ;Activa;En Formacion
4859;COOPERATIVA DE TRABAJO COENERGIA;Producción y Trabajo.;NO;13 Metropolitana;Activa;En Formacion
4860;COOPERATIVA DE TRABAJO DE MUJERES DE ANCUD;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
4861;COOPERATIVA DE TRABAJO, SERVICIOS Y PRODUCCION CALETA LA ARENA;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;En Formacion
9919;COOPERATIVA DE TRABAJO REGIONAL MINERA CALAMA LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
;;;;;;
;;;;;;
;;;;;;
