agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,simce_leng,simce_mate,simce_comp,simce_nat,simce_soc,alumnos_leng,alumnos_mate,alumnos_comp,alumnos_nat,alumnos_soc
2006,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47681892,-70.31337859,233,213,229,,,29,28,229,,
2006,8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48231969,-70.31761582,232,234,238,,,55,55,238,,
2006,9,ESCUELA REPUBLICA DE ISRAEL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48707952,-70.30227201,266,262,275,,,162,162,275,,
2006,10,ESCUELA REPUBLICA DE FRANCIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47439094,-70.30906079,252,244,265,,,72,70,265,,
2006,11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.49092829,-70.31153510,231,237,225,,,17,18,225,,
2006,12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.49187061,-70.29409698,229,224,238,,,59,59,238,,
2006,13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48110017,-70.28467841,242,221,236,,,39,39,236,,
2006,14,ESCUELA ROMULO J. PENA MATURANA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48123729,-70.28976499,219,218,227,,,26,26,227,,
2006,15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47209843,-70.30079524,219,216,239,,,33,31,239,,
2006,16,ESCUELA REGIMIENTO RANCAGUA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47491659,-70.30883750,228,238,239,,,31,32,239,,
2006,17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.46728730,-70.29077810,215,218,231,,,34,34,231,,
2006,18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47687809,-70.28764898,254,252,252,,,65,65,252,,
2006,19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47456255,-70.29195945,228,228,233,,,51,50,233,,
2006,20,ESCUELA TUCAPEL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47978150,-70.29519947,236,234,238,,,46,46,238,,
2006,21,ESCUELA LINCOYAN,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48369708,-70.30005880,221,213,228,,,14,14,228,,
2006,22,ESCUELA GABRIELA MISTRAL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.44822155,-70.29063558,235,235,242,,,137,138,242,,
2006,25,ESCUELA CENTENARIO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.44008092,-70.29312169,215,210,222,,,79,80,222,,
2006,26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47815872,-70.30387137,238,235,242,,,29,29,242,,
2006,27,ESCUELA ESMERALDA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48330791,-70.30802044,213,221,229,,,27,28,229,,
2006,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48505614,-70.29425417,238,222,242,,,54,56,242,,
2006,29,ESCUELA AMERICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47718341,-70.28260370,237,234,240,,,63,62,240,,
2006,31,ESCUELA DARIO SALAS DIAZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.50065790,-70.25459142,243,248,242,,,34,33,242,,
2006,32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.51926404,-70.17873779,235,229,226,,,27,26,226,,
2006,33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.41711369,-70.22584880,242,231,245,,,17,17,245,,
2006,35,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.45239985,-70.06769958,240,234,235,,,8,8,235,,
2006,36,ESCUELA IGNACIO CARRERA PINTO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.49700971,-70.28385936,235,222,228,,,27,27,228,,
2006,38,ESCUELA ESPAÑA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.55881843,-70.10072669,243,247,296,,,27,27,296,,
2006,45,COLEGIO ITALIANO SANTA ANA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.48297530,-70.31429675,281,266,268,,,86,86,268,,
2006,50,COLEGIO ADVENTISTA DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,RURAL,FUNCIONANDO,-18.49332083,-70.27077136,248,230,255,,,51,51,255,,
2006,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.46852853,-70.30350503,278,286,303,,,216,215,303,,
2006,56,COLEGIO SAN MARCOS DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.46710400,-70.30172348,290,298,297,,,30,30,297,,
2006,59,COLEGIO SAN JORGE,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Pagado,URBANO,FUNCIONANDO,-18.50215027,-70.24618206,300,305,320,,,36,37,320,,
2006,60,COLEGIO ALEMAN DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.49203409,-70.28068741,257,260,268,,,63,62,268,,
2006,67,ABRAHAM LINCOLN SCHOOL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.48146053,-70.31511859,265,265,273,,,58,57,273,,
2006,69,JUNIOR COLLEGE,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Pagado,URBANO,FUNCIONANDO,-18.46383140,-70.29136776,303,298,316,,,42,41,316,,
2006,70,ESCUELA VALLE DE ESQUINA,CAMARONES,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.93621847,-69.53015866,,,,,,1,1,,,
2006,72,LICEO  VALLE DE CODPA,CAMARONES,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.83290070,-69.74458363,,,,,,2,2,,,
2006,78,LICEO GRANADEROS,PUTRE,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.19582435,-69.56192860,238,224,221,,,11,10,221,,
2006,82,ESCUELA SAN FRANCISCO DE ASIS,PUTRE,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.26880162,-69.59646587,,,,,,1,1,,,
2006,83,ESCUELA COTA COTANI,PUTRE,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.52192416,-69.22052729,,,,,,2,2,,,
2006,86,ESCUELA SAN SANTIAGO DE BELEN,PUTRE,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.46778415,-69.51489316,,,,,,1,1,,,
2006,89,ESCUELA HUMAPALCA,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-17.83438880,-69.70278189,,,,,,2,2,,,
2006,90,ESCUELA INTERNADO VISVIRI,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-17.59488572,-69.48115627,,,,,,4,4,,,
2006,91,ESCUELA COSAPILLA,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.38618133,-69.56858205,,,,,,1,1,,,
2006,94,ESCUELA GUACOYO,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-17.76012855,-69.34494484,,,,,,2,2,,,
2006,95,ESCUELA COLPITAS,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-17.95693832,-69.45362516,,,,,,3,3,,,
2006,103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,IQUIQUE,IQUIQUE,DE TARAPACÁ            ,1,Municipal,URBANO,FUNCIONANDO,-20.22075631,-70.13855603,224,212,216,,,43,43,216,,
2006,110,ESCUELA DOMINGO SANTA MARIA,IQUIQUE,IQUIQUE,DE TARAPACÁ            ,1,Municipal,URBANO,FUNCIONANDO,-20.22462578,-70.13538716,217,218,232,,,54,54,232,,
2006,111,ESCUELA GABRIELA MISTRAL,IQUIQUE,IQUIQUE,DE TARAPACÁ            ,1,Municipal,URBANO,FUNCIONANDO,-20.22586007,-70.14150307,223,211,215,,,64,64,215,,
2006,112,ESCUELA EDUARDO LLANOS,IQUIQUE,IQUIQUE,DE TARAPACÁ            ,1,Municipal,URBANO,FUNCIONANDO,-20.21447631,-70.13585908,229,220,225,,,36,35,225,,
2006,113,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,IQUIQUE,DE TARAPACÁ            ,1,Municipal,URBANO,FUNCIONANDO,-20.23221049,-70.13751944,231,227,234,,,111,112,234,,
