agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,simce_leng,simce_mate,simce_comp,simce_nat,simce_soc,alumnos_leng,alumnos_mate,alumnos_comp,alumnos_nat,alumnos_soc
2009,24798,SANTA MARIA DE LO CANAS,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.52692182,-70.55179123,298,280,,293,,18,18,,293,
2009,24800,COLEGIO FLORIDA HIGH SCHOOL,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.52912454,-70.58437142,273,272,,276,,25,24,,276,
2009,24802,COLEGIO PUELCHE,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.53705749,-70.59164519,250,257,,265,,23,23,,265,
2009,24803,ESCUELA BASICA PART GRATUITA CASA AZUL,LA GRANJA,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.52359957,-70.61967329,208,197,,202,,11,11,,202,
2009,24808,ESCUELA BASICA PARTICULAR PUDAHUEL ANEXO,PUDAHUEL,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.44397359,-70.75575447,239,231,,250,,52,55,,250,
2009,24809,ESC. BASICA PART.JUANITA FERNANDEZ SOLAR,PUDAHUEL,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.45789510,-70.76037088,271,257,,264,,74,73,,264,
2009,24812,COLEGIO POLIV. SAN JOSE DE RENCA,RENCA,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.40127174,-70.71979024,277,281,,276,,81,82,,276,
2009,24814,COLEGIO ENSENADA,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.54752147,-70.56596694,254,240,,253,,24,25,,253,
2009,24817,ESCUELA BASICA MADRIGAL,LA REINA,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.43900873,-70.52285851,327,336,,325,,25,24,,325,
2009,24822,ESC. BAS. PDTE. SALVADOR ALLENDE G.,EL BOSQUE,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.57679259,-70.66490339,215,201,,219,,54,51,,219,
2009,24826,COLEGIO NUESTRA SENORA DEL LORETO,LAS CONDES,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.37943940,-70.50825318,308,312,,313,,47,48,,313,
2009,24836,COLEGIO SAN ISIDRO,BUIN,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.76072469,-70.74181479,310,319,,309,,79,80,,309,
2009,24842,LA FONTAINE,ÑUÑOA,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.45339798,-70.58012005,297,301,,285,,18,17,,285,
2009,24843,COLEGIO POLIV. SAN LUIS BELTRAN,PUDAHUEL,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.43056681,-70.77075701,278,269,,266,,73,73,,266,
2009,24854,ESCUELA ANEXO BASICA PART.VILLA LOURDES,LO PRADO,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.45206119,-70.73730605,275,278,,274,,47,47,,274,
2009,24856,ESCUELA BASICA TEGUALDA,TALAGANTE,Talagante,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.65052665,-70.92719612,244,217,,230,,82,81,,230,
2009,24858,ANEXO NR.2 CRECES,LAS CONDES,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,CERRADO,,,,,,,,4,4,,,
2009,24864,COLEGIO SAN CRISTOBAL DE LAS CASAS,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.56052516,-70.56672947,256,244,,253,,35,34,,253,
2009,24866,ESCUELA BASICA PARTICULAR EMPRENDER,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.59020025,-70.59105822,280,275,,282,,112,113,,282,
2009,24873,COLEGIO  EPULLAY,PEÑALOLÉN,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.47046314,-70.52375291,279,286,,277,,33,33,,277,
2009,24874,COLEGIO SAN BARTOLOME DE NOS,CALERA DE TANGO,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,RURAL,FUNCIONANDO,-33.63163141,-70.75168403,292,279,,285,,14,15,,285,
2009,24876,ESC.BASICA PROF.AURELIA ROJAS BURGOS,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.56046618,-70.61965036,208,197,,215,,116,117,,215,
2009,24878,CENTRO EDUCACIONAL FERNANDO DE ARAGON,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.58121316,-70.59704542,295,297,,294,,159,155,,294,
2009,24879,ESCUELA ESPECIAL PART.ARNOLD GESELL II,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.59268069,-70.62913154,242,261,,258,,40,40,,258,
2009,24881,ESCUELA BASICA ESCRITOR PABLO NERUDA,QUILICURA,Stgo. Norte (Chacabuco),METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.36926406,-70.72902655,212,207,,206,,26,27,,206,
2009,24883,ESCUELA BÁSICA MUNICIPAL SAN LUIS,MAIPÚ,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.51174965,-70.78438051,210,200,,201,,100,97,,201,
2009,24884,COLEGIO ALCAZAR DE LAS CONDES,LAS CONDES,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.40590860,-70.58071117,289,288,,297,,88,91,,297,
2009,24885,ESCUELA BASICA PART. HUMBOLDT,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.62157935,-70.62740088,256,260,,271,,99,100,,271,
2009,24889,LICEO MONSENOR ENRIQUE ALVEAR,PUDAHUEL,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.45998278,-70.75305392,228,216,,224,,109,110,,224,
