agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,simce_leng,simce_mate,simce_comp,simce_nat,simce_soc,alumnos_leng,alumnos_mate,alumnos_comp,alumnos_nat,alumnos_soc
2007,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47681892,-70.31337859,233,236,,242,,22,22,,242,
2007,8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48231969,-70.31761582,239,240,,235,,56,59,,235,
2007,9,ESCUELA REPUBLICA DE ISRAEL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48707952,-70.30227201,263,260,,262,,190,189,,262,
2007,10,ESCUELA REPUBLICA DE FRANCIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47439094,-70.30906079,237,215,,225,,95,95,,225,
2007,11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.49092829,-70.31153510,230,213,,224,,28,29,,224,
2007,12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.49187061,-70.29409698,245,229,,236,,54,55,,236,
2007,13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48110017,-70.28467841,242,239,,236,,37,37,,236,
2007,14,ESCUELA ROMULO J. PENA MATURANA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48123729,-70.28976499,209,218,,223,,28,28,,223,
2007,15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47209843,-70.30079524,249,232,,244,,30,31,,244,
2007,16,ESCUELA REGIMIENTO RANCAGUA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47491659,-70.30883750,229,222,,217,,33,32,,217,
2007,17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.46728730,-70.29077810,249,247,,247,,21,21,,247,
2007,18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47687809,-70.28764898,262,240,,244,,50,48,,244,
2007,19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47456255,-70.29195945,230,220,,233,,39,39,,233,
2007,20,ESCUELA TUCAPEL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47978150,-70.29519947,231,211,,210,,43,43,,210,
2007,21,ESCUELA LINCOYAN,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48369708,-70.30005880,257,235,,244,,15,15,,244,
2007,22,ESCUELA GABRIELA MISTRAL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.44822155,-70.29063558,218,207,,216,,118,114,,216,
2007,25,ESCUELA CENTENARIO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.44008092,-70.29312169,224,236,,234,,44,44,,234,
2007,26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47815872,-70.30387137,233,218,,223,,30,30,,223,
2007,27,ESCUELA ESMERALDA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48330791,-70.30802044,259,244,,232,,30,30,,232,
2007,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48505614,-70.29425417,237,239,,240,,52,52,,240,
2007,29,ESCUELA AMERICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47718341,-70.28260370,234,246,,238,,56,58,,238,
2007,31,ESCUELA DARIO SALAS DIAZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.50065790,-70.25459142,215,208,,207,,24,24,,207,
2007,32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.51926404,-70.17873779,217,209,,208,,20,21,,208,
2007,33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.41711369,-70.22584880,242,232,,216,,10,10,,216,
2007,35,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.45239985,-70.06769958,240,235,,241,,11,11,,241,
2007,36,ESCUELA IGNACIO CARRERA PINTO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.49700971,-70.28385936,228,219,,224,,31,31,,224,
2007,38,ESCUELA ESPAÑA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.55881843,-70.10072669,252,258,,242,,22,20,,242,
2007,39,ESCUELA PAMPA ALGODONAL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.57821290,-69.96516894,,,,,,5,5,,,
2007,45,COLEGIO ITALIANO SANTA ANA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.48297530,-70.31429675,267,261,,264,,72,73,,264,
2007,50,COLEGIO ADVENTISTA DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,RURAL,FUNCIONANDO,-18.49332083,-70.27077136,259,259,,266,,60,61,,266,
2007,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.46852853,-70.30350503,286,284,,293,,186,185,,293,
2007,56,COLEGIO SAN MARCOS DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.46710400,-70.30172348,303,307,,301,,29,29,,301,
2007,59,COLEGIO SAN JORGE,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Pagado,URBANO,FUNCIONANDO,-18.50215027,-70.24618206,295,294,,291,,34,34,,291,
2007,60,COLEGIO ALEMAN DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.49203409,-70.28068741,254,244,,257,,62,61,,257,
2007,67,ABRAHAM LINCOLN SCHOOL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.48146053,-70.31511859,279,276,,284,,56,56,,284,
2007,69,JUNIOR COLLEGE,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Pagado,URBANO,FUNCIONANDO,-18.46383140,-70.29136776,296,296,,299,,40,39,,299,
2007,72,LICEO  VALLE DE CODPA,CAMARONES,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.83290070,-69.74458363,,,,,,1,1,,,
2007,78,LICEO GRANADEROS,PUTRE,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.19582435,-69.56192860,212,210,,211,,18,18,,211,
2007,79,ESCUELA EL MARQUEZ,PUTRE,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.58071442,-69.49375545,,,,,,5,5,,,
2007,90,ESCUELA INTERNADO VISVIRI,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-17.59488572,-69.48115627,,,,,,3,3,,,
2007,91,ESCUELA COSAPILLA,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.38618133,-69.56858205,,,,,,,1,,,
2007,92,ESCUELA CHISLLUMA,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-17.69676865,-69.68829805,,,,,,,1,,,
2007,93,ESCUELA CHUJLLUTA,GENERAL LAGOS,Parinacota,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-17.89941579,-69.34921590,,,,,,4,,,,
